Distribution Date,Site ID,Partner,Product Category,Product Size,Qty,Households,Children
2025-04-28,SITE_001,Partner Site 01,diaper,6,205,3.0,4.0
2025-04-28,SITE_001,Partner Site 01,diaper,7,46,1.0,1.0
2025-04-28,SITE_001,Partner Site 01,wipes,one_size,1352,,
2025-04-28,SITE_001,Partner Site 01,period_pad,regular,154,,
2025-04-28,SITE_001,Partner Site 01,period_pad,super,89,,
2025-04-28,SITE_001,Partner Site 01,period_pad,overnight,57,,
2025-04-28,SITE_001,Partner Site 01,period_tampon,regular,98,,
2025-04-28,SITE_001,Partner Site 01,period_tampon,super,63,,
2025-04-28,SITE_001,Partner Site 01,period_tampon,super_plus,37,,
2025-04-28,SITE_001,Partner Site 01,period_cup,one_size,8,,
2025-05-05,SITE_001,Partner Site 01,diaper,N,40,1.0,1.0
2025-05-05,SITE_001,Partner Site 01,diaper,1,114,2.0,3.0
2025-05-05,SITE_001,Partner Site 01,diaper,2,200,3.0,4.0
2025-05-05,SITE_001,Partner Site 01,diaper,3,358,5.0,7.0
2025-05-05,SITE_001,Partner Site 01,diaper,4,530,10.0,13.0
2025-05-05,SITE_001,Partner Site 01,diaper,5,509,10.0,12.0
2025-05-05,SITE_001,Partner Site 01,diaper,6,200,3.0,5.0
2025-05-05,SITE_001,Partner Site 01,diaper,7,60,1.0,1.0
2025-05-05,SITE_001,Partner Site 01,wipes,one_size,952,,
2025-05-05,SITE_001,Partner Site 01,period_pad,regular,141,,
2025-05-05,SITE_001,Partner Site 01,period_pad,super,79,,
2025-05-05,SITE_001,Partner Site 01,period_pad,overnight,48,,
2025-05-05,SITE_001,Partner Site 01,period_tampon,regular,95,,
2025-05-05,SITE_001,Partner Site 01,period_tampon,super,56,,
2025-05-05,SITE_001,Partner Site 01,period_tampon,super_plus,24,,
2025-05-05,SITE_001,Partner Site 01,period_liner,one_size,72,,
2025-05-12,SITE_001,Partner Site 01,diaper,N,53,1.0,1.0
2025-05-12,SITE_001,Partner Site 01,diaper,1,131,3.0,3.0
2025-05-12,SITE_001,Partner Site 01,diaper,2,212,5.0,6.0
2025-05-12,SITE_001,Partner Site 01,diaper,3,404,6.0,9.0
2025-05-12,SITE_001,Partner Site 01,diaper,4,574,10.0,14.0
2025-05-12,SITE_001,Partner Site 01,diaper,5,605,12.0,17.0
2025-05-12,SITE_001,Partner Site 01,diaper,6,240,3.0,4.0
2025-05-12,SITE_001,Partner Site 01,diaper,7,60,1.0,1.0
2025-05-12,SITE_001,Partner Site 01,wipes,one_size,948,,
2025-05-12,SITE_001,Partner Site 01,period_pad,regular,136,,
2025-05-12,SITE_001,Partner Site 01,period_pad,super,66,,
2025-05-12,SITE_001,Partner Site 01,period_pad,overnight,50,,
2025-05-12,SITE_001,Partner Site 01,period_tampon,regular,115,,
2025-05-12,SITE_001,Partner Site 01,period_tampon,super,63,,
2025-05-12,SITE_001,Partner Site 01,period_tampon,super_plus,21,,
2025-05-19,SITE_001,Partner Site 01,diaper,N,47,1.0,1.0
2025-05-19,SITE_001,Partner Site 01,diaper,1,172,4.0,5.0
2025-05-19,SITE_001,Partner Site 01,diaper,2,264,6.0,7.0
2025-05-19,SITE_001,Partner Site 01,diaper,3,351,6.0,8.0
2025-05-19,SITE_001,Partner Site 01,diaper,4,638,10.0,13.0
2025-05-19,SITE_001,Partner Site 01,diaper,5,602,12.0,14.0
2025-05-19,SITE_001,Partner Site 01,diaper,6,244,4.0,5.0
2025-05-19,SITE_001,Partner Site 01,diaper,7,65,2.0,2.0
2025-05-19,SITE_001,Partner Site 01,wipes,one_size,1250,,
2025-05-19,SITE_001,Partner Site 01,period_pad,regular,128,,
2025-05-19,SITE_001,Partner Site 01,period_pad,super,85,,
2025-05-19,SITE_001,Partner Site 01,period_pad,overnight,62,,
2025-05-19,SITE_001,Partner Site 01,period_tampon,regular,113,,
2025-05-19,SITE_001,Partner Site 01,period_tampon,super,44,,
2025-05-19,SITE_001,Partner Site 01,period_tampon,super_plus,22,,
2025-05-19,SITE_001,Partner Site 01,period_liner,one_size,93,,
2025-05-26,SITE_001,Partner Site 01,diaper,N,49,1.0,1.0
2025-05-26,SITE_001,Partner Site 01,diaper,1,141,3.0,3.0
2025-05-26,SITE_001,Partner Site 01,diaper,2,230,5.0,6.0
2025-05-26,SITE_001,Partner Site 01,diaper,3,410,9.0,11.0
2025-05-26,SITE_001,Partner Site 01,diaper,4,635,8.0,12.0
2025-05-26,SITE_001,Partner Site 01,diaper,5,574,8.0,12.0
2025-05-26,SITE_001,Partner Site 01,diaper,6,215,3.0,4.0
2025-05-26,SITE_001,Partner Site 01,diaper,7,61,1.0,1.0
2025-05-26,SITE_001,Partner Site 01,wipes,one_size,1093,,
2025-05-26,SITE_001,Partner Site 01,period_pad,regular,170,,
2025-05-26,SITE_001,Partner Site 01,period_pad,super,99,,
2025-05-26,SITE_001,Partner Site 01,period_pad,overnight,69,,
2025-05-26,SITE_001,Partner Site 01,period_tampon,regular,105,,
2025-05-26,SITE_001,Partner Site 01,period_tampon,super,73,,
2025-05-26,SITE_001,Partner Site 01,period_tampon,super_plus,33,,
2025-05-26,SITE_001,Partner Site 01,period_liner,one_size,83,,
2025-06-02,SITE_001,Partner Site 01,diaper,N,30,1.0,1.0
2025-06-02,SITE_001,Partner Site 01,diaper,1,108,2.0,2.0
2025-06-02,SITE_001,Partner Site 01,diaper,2,176,3.0,4.0
2025-06-02,SITE_001,Partner Site 01,diaper,3,264,5.0,7.0
2025-06-02,SITE_001,Partner Site 01,diaper,4,417,7.0,9.0
2025-06-02,SITE_001,Partner Site 01,diaper,5,398,7.0,8.0
2025-06-02,SITE_001,Partner Site 01,diaper,6,165,3.0,4.0
2025-06-02,SITE_001,Partner Site 01,diaper,7,40,1.0,1.0
2025-06-02,SITE_001,Partner Site 01,wipes,one_size,967,,
2025-06-02,SITE_001,Partner Site 01,period_pad,regular,98,,
2025-06-02,SITE_001,Partner Site 01,period_pad,super,75,,
2025-06-02,SITE_001,Partner Site 01,period_pad,overnight,37,,
2025-06-02,SITE_001,Partner Site 01,period_tampon,regular,89,,
2025-06-02,SITE_001,Partner Site 01,period_tampon,super,63,,
2025-06-02,SITE_001,Partner Site 01,period_tampon,super_plus,20,,
2025-06-02,SITE_001,Partner Site 01,period_liner,one_size,58,,
2025-06-09,SITE_001,Partner Site 01,diaper,N,41,1.0,1.0
2025-06-09,SITE_001,Partner Site 01,diaper,1,97,2.0,2.0
2025-06-09,SITE_001,Partner Site 01,diaper,2,171,2.0,3.0
2025-06-09,SITE_001,Partner Site 01,diaper,3,281,4.0,5.0
2025-06-09,SITE_001,Partner Site 01,diaper,4,445,8.0,10.0
2025-06-09,SITE_001,Partner Site 01,diaper,5,437,8.0,11.0
2025-06-09,SITE_001,Partner Site 01,diaper,6,158,4.0,4.0
2025-06-09,SITE_001,Partner Site 01,diaper,7,47,1.0,1.0
2025-06-09,SITE_001,Partner Site 01,wipes,one_size,1066,,
2025-06-09,SITE_001,Partner Site 01,period_pad,regular,87,,
2025-06-09,SITE_001,Partner Site 01,period_pad,super,47,,
2025-06-09,SITE_001,Partner Site 01,period_pad,overnight,48,,
2025-06-09,SITE_001,Partner Site 01,period_tampon,regular,97,,
2025-06-09,SITE_001,Partner Site 01,period_tampon,super,60,,
2025-06-09,SITE_001,Partner Site 01,period_tampon,super_plus,17,,
2025-06-09,SITE_001,Partner Site 01,period_liner,one_size,67,,
2025-06-16,SITE_001,Partner Site 01,diaper,N,45,1.0,1.0
2025-06-16,SITE_001,Partner Site 01,diaper,1,89,1.0,2.0
2025-06-16,SITE_001,Partner Site 01,diaper,2,163,2.0,3.0
2025-06-16,SITE_001,Partner Site 01,diaper,3,272,5.0,7.0
2025-06-16,SITE_001,Partner Site 01,diaper,4,413,8.0,11.0
2025-06-16,SITE_001,Partner Site 01,diaper,5,379,5.0,7.0
2025-06-16,SITE_001,Partner Site 01,diaper,6,153,4.0,4.0
2025-06-16,SITE_001,Partner Site 01,diaper,7,52,1.0,1.0
2025-06-16,SITE_001,Partner Site 01,wipes,one_size,531,,
2025-06-16,SITE_001,Partner Site 01,period_pad,regular,88,,
2025-06-16,SITE_001,Partner Site 01,period_pad,super,50,,
2025-06-16,SITE_001,Partner Site 01,period_pad,overnight,22,,
2025-06-16,SITE_001,Partner Site 01,period_tampon,regular,76,,
2025-06-16,SITE_001,Partner Site 01,period_tampon,super,38,,
2025-06-16,SITE_001,Partner Site 01,period_tampon,super_plus,15,,
2025-06-16,SITE_001,Partner Site 01,period_liner,one_size,62,,
2025-06-23,SITE_001,Partner Site 01,diaper,N,28,1.0,1.0
2025-06-23,SITE_001,Partner Site 01,diaper,1,91,1.0,2.0
2025-06-23,SITE_001,Partner Site 01,diaper,2,180,4.0,5.0
2025-06-23,SITE_001,Partner Site 01,diaper,3,273,5.0,7.0
2025-06-23,SITE_001,Partner Site 01,diaper,4,438,10.0,12.0
2025-06-23,SITE_001,Partner Site 01,diaper,5,403,10.0,11.0
2025-06-23,SITE_001,Partner Site 01,diaper,6,165,3.0,3.0
2025-06-23,SITE_001,Partner Site 01,diaper,7,49,1.0,1.0
2025-06-23,SITE_001,Partner Site 01,wipes,one_size,827,,
2025-06-23,SITE_001,Partner Site 01,period_pad,regular,125,,
2025-06-23,SITE_001,Partner Site 01,period_pad,super,75,,
2025-06-23,SITE_001,Partner Site 01,period_pad,overnight,66,,
2025-06-23,SITE_001,Partner Site 01,period_liner,one_size,92,,
2025-06-30,SITE_001,Partner Site 01,diaper,N,24,1.0,1.0
2025-06-30,SITE_001,Partner Site 01,diaper,1,113,2.0,2.0
2025-06-30,SITE_001,Partner Site 01,diaper,2,203,3.0,4.0
2025-06-30,SITE_001,Partner Site 01,diaper,3,306,8.0,9.0
2025-06-30,SITE_001,Partner Site 01,diaper,4,488,7.0,9.0
2025-06-30,SITE_001,Partner Site 01,diaper,5,485,9.0,13.0
2025-06-30,SITE_001,Partner Site 01,diaper,6,193,3.0,4.0
2025-06-30,SITE_001,Partner Site 01,diaper,7,40,1.0,1.0
2025-06-30,SITE_001,Partner Site 01,wipes,one_size,662,,
2025-06-30,SITE_001,Partner Site 01,period_pad,regular,114,,
2025-06-30,SITE_001,Partner Site 01,period_pad,super,56,,
2025-06-30,SITE_001,Partner Site 01,period_pad,overnight,41,,
2025-06-30,SITE_001,Partner Site 01,period_tampon,regular,83,,
2025-06-30,SITE_001,Partner Site 01,period_tampon,super,60,,
2025-06-30,SITE_001,Partner Site 01,period_tampon,super_plus,16,,
2025-06-30,SITE_001,Partner Site 01,period_liner,one_size,68,,
2025-07-07,SITE_001,Partner Site 01,diaper,N,42,1.0,1.0
2025-07-07,SITE_001,Partner Site 01,diaper,1,88,2.0,2.0
2025-07-07,SITE_001,Partner Site 01,diaper,2,187,4.0,5.0
2025-07-07,SITE_001,Partner Site 01,diaper,3,233,5.0,7.0
2025-07-07,SITE_001,Partner Site 01,diaper,4,416,7.0,10.0
2025-07-07,SITE_001,Partner Site 01,diaper,5,358,6.0,7.0
2025-07-07,SITE_001,Partner Site 01,diaper,6,145,3.0,4.0
2025-07-07,SITE_001,Partner Site 01,diaper,7,38,1.0,1.0
2025-07-07,SITE_001,Partner Site 01,wipes,one_size,771,,
2025-07-07,SITE_001,Partner Site 01,period_pad,regular,120,,
2025-07-07,SITE_001,Partner Site 01,period_pad,super,66,,
2025-07-07,SITE_001,Partner Site 01,period_pad,overnight,45,,
2025-07-07,SITE_001,Partner Site 01,period_tampon,regular,48,,
2025-07-07,SITE_001,Partner Site 01,period_tampon,super,18,,
2025-07-07,SITE_001,Partner Site 01,period_tampon,super_plus,14,,
2025-07-07,SITE_001,Partner Site 01,period_liner,one_size,76,,
2025-07-07,SITE_001,Partner Site 01,period_cup,one_size,7,,
2025-07-14,SITE_001,Partner Site 01,diaper,N,35,1.0,1.0
2025-07-14,SITE_001,Partner Site 01,diaper,1,91,1.0,2.0
2025-07-14,SITE_001,Partner Site 01,diaper,2,142,3.0,3.0
2025-07-14,SITE_001,Partner Site 01,diaper,3,258,5.0,6.0
2025-07-14,SITE_001,Partner Site 01,diaper,4,393,6.0,8.0
2025-07-14,SITE_001,Partner Site 01,diaper,5,372,6.0,7.0
2025-07-14,SITE_001,Partner Site 01,diaper,6,174,3.0,4.0
2025-07-14,SITE_001,Partner Site 01,diaper,7,50,1.0,1.0
2025-07-14,SITE_001,Partner Site 01,wipes,one_size,739,,
2025-07-14,SITE_001,Partner Site 01,period_pad,regular,93,,
2025-07-14,SITE_001,Partner Site 01,period_pad,super,69,,
2025-07-14,SITE_001,Partner Site 01,period_pad,overnight,25,,
2025-07-14,SITE_001,Partner Site 01,period_tampon,regular,82,,
2025-07-14,SITE_001,Partner Site 01,period_tampon,super,38,,
2025-07-14,SITE_001,Partner Site 01,period_tampon,super_plus,25,,
2025-07-21,SITE_001,Partner Site 01,diaper,N,37,1.0,1.0
2025-07-21,SITE_001,Partner Site 01,diaper,1,94,3.0,3.0
2025-07-21,SITE_001,Partner Site 01,diaper,2,187,3.0,4.0
2025-07-21,SITE_001,Partner Site 01,diaper,3,303,5.0,6.0
2025-07-21,SITE_001,Partner Site 01,diaper,4,471,8.0,11.0
2025-07-21,SITE_001,Partner Site 01,diaper,5,443,7.0,11.0
2025-07-21,SITE_001,Partner Site 01,diaper,6,156,2.0,3.0
2025-07-21,SITE_001,Partner Site 01,diaper,7,42,1.0,1.0
2025-07-21,SITE_001,Partner Site 01,wipes,one_size,673,,
2025-07-21,SITE_001,Partner Site 01,period_pad,regular,116,,
2025-07-21,SITE_001,Partner Site 01,period_pad,super,77,,
2025-07-21,SITE_001,Partner Site 01,period_pad,overnight,56,,
2025-07-21,SITE_001,Partner Site 01,period_tampon,regular,47,,
2025-07-21,SITE_001,Partner Site 01,period_tampon,super,32,,
2025-07-21,SITE_001,Partner Site 01,period_tampon,super_plus,16,,
2025-07-21,SITE_001,Partner Site 01,period_liner,one_size,61,,
2025-07-28,SITE_001,Partner Site 01,diaper,N,47,1.0,1.0
2025-07-28,SITE_001,Partner Site 01,diaper,1,95,1.0,2.0
2025-07-28,SITE_001,Partner Site 01,diaper,2,167,3.0,4.0
2025-07-28,SITE_001,Partner Site 01,diaper,3,295,5.0,7.0
2025-07-28,SITE_001,Partner Site 01,diaper,4,441,9.0,11.0
2025-07-28,SITE_001,Partner Site 01,diaper,5,425,9.0,10.0
2025-07-28,SITE_001,Partner Site 01,diaper,6,145,3.0,4.0
2025-07-28,SITE_001,Partner Site 01,diaper,7,58,1.0,1.0
2025-07-28,SITE_001,Partner Site 01,wipes,one_size,664,,
2025-07-28,SITE_001,Partner Site 01,period_pad,regular,98,,
2025-07-28,SITE_001,Partner Site 01,period_pad,super,45,,
2025-07-28,SITE_001,Partner Site 01,period_pad,overnight,33,,
2025-07-28,SITE_001,Partner Site 01,period_tampon,regular,68,,
2025-07-28,SITE_001,Partner Site 01,period_tampon,super,31,,
2025-07-28,SITE_001,Partner Site 01,period_tampon,super_plus,23,,
2025-07-28,SITE_001,Partner Site 01,period_liner,one_size,73,,
2025-08-04,SITE_001,Partner Site 01,diaper,N,33,1.0,1.0
2025-08-04,SITE_001,Partner Site 01,diaper,1,92,1.0,2.0
2025-08-04,SITE_001,Partner Site 01,diaper,2,155,2.0,3.0
2025-08-04,SITE_001,Partner Site 01,diaper,3,281,5.0,6.0
2025-08-04,SITE_001,Partner Site 01,diaper,4,405,8.0,9.0
2025-08-04,SITE_001,Partner Site 01,diaper,5,389,7.0,8.0
2025-08-04,SITE_001,Partner Site 01,diaper,6,153,3.0,4.0
2025-08-04,SITE_001,Partner Site 01,diaper,7,50,1.0,1.0
2025-08-04,SITE_001,Partner Site 01,wipes,one_size,953,,
2025-08-04,SITE_001,Partner Site 01,period_pad,regular,95,,
2025-08-04,SITE_001,Partner Site 01,period_pad,super,53,,
2025-08-04,SITE_001,Partner Site 01,period_pad,overnight,45,,
2025-08-04,SITE_001,Partner Site 01,period_tampon,regular,47,,
2025-08-04,SITE_001,Partner Site 01,period_tampon,super,29,,
2025-08-04,SITE_001,Partner Site 01,period_tampon,super_plus,13,,
2025-08-04,SITE_001,Partner Site 01,period_liner,one_size,58,,
2025-08-11,SITE_001,Partner Site 01,diaper,N,29,1.0,1.0
2025-08-11,SITE_001,Partner Site 01,diaper,1,95,2.0,2.0
2025-08-11,SITE_001,Partner Site 01,diaper,2,158,3.0,4.0
2025-08-11,SITE_001,Partner Site 01,diaper,3,299,5.0,7.0
2025-08-11,SITE_001,Partner Site 01,diaper,4,450,6.0,9.0
2025-08-11,SITE_001,Partner Site 01,diaper,5,426,8.0,10.0
2025-08-11,SITE_001,Partner Site 01,diaper,6,176,3.0,4.0
2025-08-11,SITE_001,Partner Site 01,diaper,7,44,1.0,1.0
2025-08-11,SITE_001,Partner Site 01,wipes,one_size,824,,
2025-08-11,SITE_001,Partner Site 01,period_pad,regular,102,,
2025-08-11,SITE_001,Partner Site 01,period_pad,super,46,,
2025-08-11,SITE_001,Partner Site 01,period_pad,overnight,33,,
2025-08-11,SITE_001,Partner Site 01,period_tampon,regular,73,,
2025-08-11,SITE_001,Partner Site 01,period_tampon,super,31,,
2025-08-11,SITE_001,Partner Site 01,period_tampon,super_plus,20,,
2025-08-11,SITE_001,Partner Site 01,period_liner,one_size,62,,
2025-08-18,SITE_001,Partner Site 01,diaper,N,30,1.0,1.0
2025-08-18,SITE_001,Partner Site 01,diaper,1,98,3.0,3.0
2025-08-18,SITE_001,Partner Site 01,diaper,2,147,3.0,4.0
2025-08-18,SITE_001,Partner Site 01,diaper,3,236,3.0,5.0
2025-08-18,SITE_001,Partner Site 01,diaper,4,386,7.0,10.0
2025-08-18,SITE_001,Partner Site 01,diaper,5,362,6.0,8.0
2025-08-18,SITE_001,Partner Site 01,diaper,6,150,2.0,3.0
2025-08-18,SITE_001,Partner Site 01,diaper,7,46,1.0,1.0
2025-08-18,SITE_001,Partner Site 01,wipes,one_size,770,,
2025-08-18,SITE_001,Partner Site 01,period_pad,regular,69,,
2025-08-18,SITE_001,Partner Site 01,period_pad,super,40,,
2025-08-18,SITE_001,Partner Site 01,period_pad,overnight,28,,
2025-08-18,SITE_001,Partner Site 01,period_tampon,regular,69,,
2025-08-18,SITE_001,Partner Site 01,period_tampon,super,35,,
2025-08-18,SITE_001,Partner Site 01,period_tampon,super_plus,23,,
2025-08-18,SITE_001,Partner Site 01,period_liner,one_size,67,,
2025-08-18,SITE_001,Partner Site 01,period_cup,one_size,9,,
2025-08-25,SITE_001,Partner Site 01,diaper,N,28,1.0,1.0
2025-08-25,SITE_001,Partner Site 01,diaper,1,81,2.0,2.0
2025-08-25,SITE_001,Partner Site 01,diaper,2,137,3.0,4.0
2025-08-25,SITE_001,Partner Site 01,diaper,3,218,3.0,4.0
2025-08-25,SITE_001,Partner Site 01,diaper,4,376,8.0,9.0
2025-08-25,SITE_001,Partner Site 01,diaper,5,357,7.0,8.0
2025-08-25,SITE_001,Partner Site 01,diaper,6,138,3.0,3.0
2025-08-25,SITE_001,Partner Site 01,diaper,7,36,1.0,1.0
2025-08-25,SITE_001,Partner Site 01,wipes,one_size,646,,
2025-08-25,SITE_001,Partner Site 01,period_pad,regular,48,,
2025-08-25,SITE_001,Partner Site 01,period_pad,super,33,,
2025-08-25,SITE_001,Partner Site 01,period_pad,overnight,27,,
2025-08-25,SITE_001,Partner Site 01,period_tampon,regular,73,,
2025-08-25,SITE_001,Partner Site 01,period_tampon,super,39,,
2025-08-25,SITE_001,Partner Site 01,period_tampon,super_plus,29,,
2025-08-25,SITE_001,Partner Site 01,period_liner,one_size,73,,
2025-08-25,SITE_001,Partner Site 01,period_cup,one_size,6,,
2025-09-01,SITE_001,Partner Site 01,diaper,N,41,1.0,1.0
2025-09-01,SITE_001,Partner Site 01,diaper,1,96,2.0,2.0
2025-09-01,SITE_001,Partner Site 01,diaper,2,199,3.0,4.0
2025-09-01,SITE_001,Partner Site 01,diaper,3,292,6.0,7.0
2025-09-01,SITE_001,Partner Site 01,diaper,4,512,11.0,12.0
2025-09-01,SITE_001,Partner Site 01,diaper,5,458,9.0,12.0
2025-09-01,SITE_001,Partner Site 01,diaper,6,173,3.0,4.0
2025-09-01,SITE_001,Partner Site 01,diaper,7,68,1.0,1.0
2025-09-01,SITE_001,Partner Site 01,wipes,one_size,938,,
2025-09-01,SITE_001,Partner Site 01,period_pad,regular,137,,
2025-09-01,SITE_001,Partner Site 01,period_pad,super,78,,
2025-09-01,SITE_001,Partner Site 01,period_pad,overnight,76,,
2025-09-01,SITE_001,Partner Site 01,period_liner,one_size,86,,
2025-09-01,SITE_001,Partner Site 01,period_cup,one_size,14,,
2025-09-08,SITE_001,Partner Site 01,diaper,N,37,1.0,1.0
2025-09-08,SITE_001,Partner Site 01,diaper,1,151,2.0,3.0
2025-09-08,SITE_001,Partner Site 01,diaper,2,250,4.0,5.0
2025-09-08,SITE_001,Partner Site 01,diaper,3,370,6.0,8.0
2025-09-08,SITE_001,Partner Site 01,diaper,4,601,12.0,14.0
2025-09-08,SITE_001,Partner Site 01,diaper,5,533,8.0,10.0
2025-09-08,SITE_001,Partner Site 01,diaper,6,236,3.0,5.0
2025-09-08,SITE_001,Partner Site 01,diaper,7,60,1.0,1.0
2025-09-08,SITE_001,Partner Site 01,wipes,one_size,1016,,
2025-09-08,SITE_001,Partner Site 01,period_pad,regular,158,,
2025-09-08,SITE_001,Partner Site 01,period_pad,super,87,,
2025-09-08,SITE_001,Partner Site 01,period_pad,overnight,54,,
2025-09-08,SITE_001,Partner Site 01,period_tampon,regular,99,,
2025-09-08,SITE_001,Partner Site 01,period_tampon,super,61,,
2025-09-08,SITE_001,Partner Site 01,period_tampon,super_plus,24,,
2025-09-08,SITE_001,Partner Site 01,period_liner,one_size,85,,
2025-09-15,SITE_001,Partner Site 01,diaper,N,37,1.0,1.0
2025-09-15,SITE_001,Partner Site 01,diaper,1,140,2.0,3.0
2025-09-15,SITE_001,Partner Site 01,diaper,2,226,4.0,4.0
2025-09-15,SITE_001,Partner Site 01,diaper,3,348,6.0,7.0
2025-09-15,SITE_001,Partner Site 01,diaper,4,584,10.0,11.0
2025-09-15,SITE_001,Partner Site 01,diaper,5,529,7.0,10.0
2025-09-15,SITE_001,Partner Site 01,diaper,6,268,6.0,7.0
2025-09-15,SITE_001,Partner Site 01,diaper,7,71,1.0,1.0
2025-09-15,SITE_001,Partner Site 01,wipes,one_size,990,,
2025-09-15,SITE_001,Partner Site 01,period_pad,regular,132,,
2025-09-15,SITE_001,Partner Site 01,period_pad,super,66,,
2025-09-15,SITE_001,Partner Site 01,period_pad,overnight,46,,
