expected_date,source,product,size,quantity,status
2026-12-14,Community Donations,diaper,5,737,confirmed
2026-12-14,Community Donations,diaper,6,507,confirmed
2026-12-14,Community Donations,diaper,7,123,confirmed
2026-12-21,Community Donations,diaper,N,2396,confirmed
2026-12-21,Community Donations,diaper,1,2699,pending
2026-12-21,Community Donations,diaper,2,2258,confirmed
2026-12-21,Community Donations,diaper,3,1591,confirmed
2026-12-21,Community Donations,diaper,4,1044,pending
2026-12-21,Community Donations,diaper,5,653,confirmed
2026-12-21,Community Donations,diaper,6,457,confirmed
2026-12-21,Community Donations,diaper,7,105,pending
2026-12-21,Targeted Diaper Purchase,diaper,4,11227,confirmed
2026-12-21,Targeted Diaper Purchase,diaper,5,12290,confirmed
2026-12-21,Targeted Diaper Purchase,diaper,6,4528,confirmed
2026-12-21,Planned Purchase,adult_incontinence,L,157,confirmed
2026-12-21,Planned Purchase,adult_incontinence,M,152,confirmed
2026-12-21,Planned Purchase,adult_incontinence,S,55,pending
2026-12-21,Planned Purchase,adult_incontinence,XL,61,confirmed
2026-12-21,Planned Purchase,period_cup,one_size,30,confirmed
2026-12-21,Planned Purchase,period_liner,one_size,643,confirmed
2026-12-21,Planned Purchase,period_pad,overnight,549,confirmed
2026-12-21,Planned Purchase,period_pad,regular,1143,confirmed
2026-12-21,Planned Purchase,period_pad,super,755,confirmed
2026-12-21,Planned Purchase,period_tampon,regular,972,confirmed
2026-12-21,Planned Purchase,period_tampon,super,611,pending
2026-12-21,Planned Purchase,period_tampon,super_plus,228,confirmed
2026-12-21,Planned Purchase,pull_up,2T-3T,741,confirmed
2026-12-21,Planned Purchase,pull_up,3T-4T,1304,pending
2026-12-21,Planned Purchase,pull_up,4T-5T,899,confirmed
2026-12-21,Planned Purchase,wipes,one_size,23689,pending
2026-12-28,Community Donations,diaper,N,2798,pending
2026-12-28,Community Donations,diaper,1,3070,confirmed
2026-12-28,Community Donations,diaper,2,2487,pending
2026-12-28,Community Donations,diaper,3,1764,pending
2026-12-28,Community Donations,diaper,4,1186,confirmed
2026-12-28,Community Donations,diaper,5,773,pending
2026-12-28,Community Donations,diaper,6,504,pending
2026-12-28,Community Donations,diaper,7,94,pending
2027-01-04,Community Donations,diaper,N,2853,pending
2027-01-04,Community Donations,diaper,1,3008,pending
2027-01-04,Community Donations,diaper,2,2537,pending
2027-01-04,Community Donations,diaper,3,1775,pending
2027-01-04,Community Donations,diaper,4,1145,pending
2027-01-04,Community Donations,diaper,5,828,pending
2027-01-04,Community Donations,diaper,6,493,pending
2027-01-04,Community Donations,diaper,7,136,pending
2027-01-11,Community Donations,diaper,N,2929,confirmed
2027-01-11,Community Donations,diaper,1,3167,confirmed
2027-01-11,Community Donations,diaper,2,2700,pending
2027-01-11,Community Donations,diaper,3,1867,confirmed
2027-01-11,Community Donations,diaper,4,1173,confirmed
2027-01-11,Community Donations,diaper,5,794,pending
2027-01-11,Community Donations,diaper,6,528,confirmed
2027-01-11,Community Donations,diaper,7,118,confirmed
2027-01-18,Community Donations,diaper,N,3237,confirmed
2027-01-18,Community Donations,diaper,1,3669,pending
2027-01-18,Community Donations,diaper,2,3023,pending
2027-01-18,Community Donations,diaper,3,2037,pending
2027-01-18,Community Donations,diaper,4,1323,pending
2027-01-18,Community Donations,diaper,5,884,pending
2027-01-18,Community Donations,diaper,6,598,confirmed
2027-01-18,Community Donations,diaper,7,155,confirmed
2027-01-18,Targeted Diaper Purchase,diaper,4,12392,confirmed
2027-01-18,Targeted Diaper Purchase,diaper,5,9997,confirmed
2027-01-18,Targeted Diaper Purchase,diaper,6,5608,confirmed
2027-01-18,Planned Purchase,adult_incontinence,L,130,confirmed
2027-01-18,Planned Purchase,adult_incontinence,M,165,confirmed
2027-01-18,Planned Purchase,adult_incontinence,S,65,confirmed
2027-01-18,Planned Purchase,adult_incontinence,XL,53,confirmed
2027-01-18,Planned Purchase,period_cup,one_size,29,confirmed
2027-01-18,Planned Purchase,period_liner,one_size,512,pending
2027-01-18,Planned Purchase,period_pad,overnight,582,confirmed
2027-01-18,Planned Purchase,period_pad,regular,1528,pending
2027-01-18,Planned Purchase,period_pad,super,615,confirmed
2027-01-18,Planned Purchase,period_tampon,regular,852,confirmed
2027-01-18,Planned Purchase,period_tampon,super,374,confirmed
2027-01-18,Planned Purchase,period_tampon,super_plus,286,confirmed
2027-01-18,Planned Purchase,pull_up,2T-3T,641,confirmed
2027-01-18,Planned Purchase,pull_up,3T-4T,1150,confirmed
2027-01-18,Planned Purchase,pull_up,4T-5T,652,confirmed
2027-01-18,Planned Purchase,wipes,one_size,24760,confirmed
2027-01-25,Community Donations,diaper,N,2908,pending
2027-01-25,Community Donations,diaper,1,3013,confirmed
2027-01-25,Community Donations,diaper,2,2587,confirmed
2027-01-25,Community Donations,diaper,3,1822,pending
2027-01-25,Community Donations,diaper,4,1182,confirmed
2027-01-25,Community Donations,diaper,5,792,confirmed
2027-01-25,Community Donations,diaper,6,505,confirmed
2027-01-25,Community Donations,diaper,7,117,confirmed
2027-02-01,Community Donations,diaper,N,2584,pending
2027-02-01,Community Donations,diaper,1,2742,pending
2027-02-01,Community Donations,diaper,2,2432,pending
2027-02-01,Community Donations,diaper,3,1615,confirmed
2027-02-01,Community Donations,diaper,4,1080,pending
2027-02-01,Community Donations,diaper,5,701,pending
2027-02-01,Community Donations,diaper,6,502,confirmed
2027-02-01,Community Donations,diaper,7,118,pending
2027-02-08,Community Donations,diaper,N,2874,pending
2027-02-08,Community Donations,diaper,1,3145,pending
2027-02-08,Community Donations,diaper,2,2697,confirmed
2027-02-08,Community Donations,diaper,3,1780,pending
2027-02-08,Community Donations,diaper,4,1195,confirmed
2027-02-08,Community Donations,diaper,5,780,confirmed
2027-02-08,Community Donations,diaper,6,554,confirmed
2027-02-08,Community Donations,diaper,7,140,confirmed
2027-02-15,Community Donations,diaper,N,2625,confirmed
2027-02-15,Community Donations,diaper,1,2760,confirmed
2027-02-15,Community Donations,diaper,2,2464,confirmed
2027-02-15,Community Donations,diaper,3,1652,confirmed
2027-02-15,Community Donations,diaper,4,1058,confirmed
2027-02-15,Community Donations,diaper,5,736,confirmed
2027-02-15,Community Donations,diaper,6,499,pending
2027-02-15,Community Donations,diaper,7,144,pending
2027-02-15,Targeted Diaper Purchase,diaper,4,12540,confirmed
2027-02-15,Targeted Diaper Purchase,diaper,5,11616,confirmed
2027-02-15,Targeted Diaper Purchase,diaper,6,5287,pending
2027-02-15,Planned Purchase,adult_incontinence,L,131,confirmed
2027-02-15,Planned Purchase,adult_incontinence,M,149,pending
2027-02-15,Planned Purchase,adult_incontinence,S,45,confirmed
2027-02-15,Planned Purchase,adult_incontinence,XL,54,confirmed
2027-02-15,Planned Purchase,period_cup,one_size,21,confirmed
2027-02-15,Planned Purchase,period_liner,one_size,766,confirmed
2027-02-15,Planned Purchase,period_pad,overnight,407,confirmed
2027-02-15,Planned Purchase,period_pad,regular,1524,confirmed
2027-02-15,Planned Purchase,period_pad,super,923,confirmed
2027-02-15,Planned Purchase,period_tampon,regular,682,confirmed
2027-02-15,Planned Purchase,period_tampon,super,526,confirmed
2027-02-15,Planned Purchase,period_tampon,super_plus,294,confirmed
2027-02-15,Planned Purchase,pull_up,2T-3T,745,confirmed
2027-02-15,Planned Purchase,pull_up,3T-4T,1197,pending
2027-02-15,Planned Purchase,pull_up,4T-5T,970,confirmed
2027-02-15,Planned Purchase,wipes,one_size,29276,pending
2027-02-22,Community Donations,diaper,N,2723,confirmed
2027-02-22,Community Donations,diaper,1,3086,pending
2027-02-22,Community Donations,diaper,2,2485,confirmed
2027-02-22,Community Donations,diaper,3,1824,pending
2027-02-22,Community Donations,diaper,4,1163,confirmed
2027-02-22,Community Donations,diaper,5,773,pending
2027-02-22,Community Donations,diaper,6,511,pending
2027-02-22,Community Donations,diaper,7,131,pending
2027-03-01,Community Donations,diaper,N,2313,confirmed
2027-03-01,Community Donations,diaper,1,2559,confirmed
2027-03-01,Community Donations,diaper,2,2128,pending
2027-03-01,Community Donations,diaper,3,1419,confirmed
2027-03-01,Community Donations,diaper,4,947,pending
2027-03-01,Community Donations,diaper,5,649,confirmed
2027-03-01,Community Donations,diaper,6,406,confirmed
2027-03-01,Community Donations,diaper,7,90,pending
2027-03-08,Community Donations,diaper,N,2583,pending
2027-03-08,Community Donations,diaper,1,2849,pending
2027-03-08,Community Donations,diaper,2,2300,confirmed
2027-03-08,Community Donations,diaper,3,1604,confirmed
2027-03-08,Community Donations,diaper,4,1042,pending
2027-03-08,Community Donations,diaper,5,723,confirmed
2027-03-08,Community Donations,diaper,6,462,confirmed
2027-03-08,Community Donations,diaper,7,119,confirmed
2027-03-15,Community Donations,diaper,N,2803,confirmed
2027-03-15,Community Donations,diaper,1,2871,confirmed
2027-03-15,Community Donations,diaper,2,2579,confirmed
2027-03-15,Community Donations,diaper,3,1789,confirmed
2027-03-15,Community Donations,diaper,4,1087,pending
2027-03-15,Community Donations,diaper,5,747,confirmed
2027-03-15,Community Donations,diaper,6,495,pending
2027-03-15,Community Donations,diaper,7,131,confirmed
2027-03-15,Targeted Diaper Purchase,diaper,4,13097,confirmed
2027-03-15,Targeted Diaper Purchase,diaper,5,11239,pending
2027-03-15,Targeted Diaper Purchase,diaper,6,5209,pending
2027-03-15,Planned Purchase,adult_incontinence,L,154,confirmed
2027-03-15,Planned Purchase,adult_incontinence,M,140,confirmed
2027-03-15,Planned Purchase,adult_incontinence,S,64,confirmed
2027-03-15,Planned Purchase,adult_incontinence,XL,51,confirmed
2027-03-15,Planned Purchase,period_cup,one_size,23,confirmed
2027-03-15,Planned Purchase,period_liner,one_size,690,confirmed
2027-03-15,Planned Purchase,period_pad,overnight,405,confirmed
2027-03-15,Planned Purchase,period_pad,regular,1209,confirmed
2027-03-15,Planned Purchase,period_pad,super,582,confirmed
2027-03-15,Planned Purchase,period_tampon,regular,1009,confirmed
2027-03-15,Planned Purchase,period_tampon,super,435,confirmed
2027-03-15,Planned Purchase,period_tampon,super_plus,214,confirmed
2027-03-15,Planned Purchase,pull_up,2T-3T,751,pending
2027-03-15,Planned Purchase,pull_up,3T-4T,1162,confirmed
2027-03-15,Planned Purchase,pull_up,4T-5T,878,confirmed
2027-03-15,Planned Purchase,wipes,one_size,27033,confirmed
2027-03-22,Community Donations,diaper,N,2963,pending
2027-03-22,Community Donations,diaper,1,3246,pending
2027-03-22,Community Donations,diaper,2,2678,pending
2027-03-22,Community Donations,diaper,3,1903,pending
2027-03-22,Community Donations,diaper,4,1169,confirmed
2027-03-22,Community Donations,diaper,5,788,confirmed
2027-03-22,Community Donations,diaper,6,493,pending
2027-03-22,Community Donations,diaper,7,114,confirmed
2027-03-29,Community Donations,diaper,N,2635,pending
2027-03-29,Community Donations,diaper,1,2828,pending
2027-03-29,Community Donations,diaper,2,2369,pending
2027-03-29,Community Donations,diaper,3,1577,confirmed
2027-03-29,Community Donations,diaper,4,1014,confirmed
2027-03-29,Community Donations,diaper,5,754,confirmed
2027-03-29,Community Donations,diaper,6,513,pending
2027-03-29,Community Donations,diaper,7,124,confirmed
2027-04-05,Spring Donation Drive,diaper,N,5576,confirmed
2027-04-05,Spring Donation Drive,diaper,1,6111,confirmed
2027-04-05,Spring Donation Drive,diaper,2,5260,confirmed
2027-04-05,Spring Donation Drive,diaper,3,3577,confirmed
2027-04-05,Spring Donation Drive,diaper,4,2197,confirmed
2027-04-05,Spring Donation Drive,diaper,5,1549,confirmed
2027-04-05,Spring Donation Drive,diaper,6,1013,confirmed
2027-04-05,Spring Donation Drive,diaper,7,272,pending
2027-04-12,Community Donations,diaper,N,3161,pending
2027-04-12,Community Donations,diaper,1,3310,confirmed
2027-04-12,Community Donations,diaper,2,2795,pending
2027-04-12,Community Donations,diaper,3,2000,pending
2027-04-12,Community Donations,diaper,4,1247,confirmed
2027-04-12,Community Donations,diaper,5,820,pending
2027-04-12,Community Donations,diaper,6,601,confirmed
2027-04-12,Community Donations,diaper,7,133,confirmed
2027-04-12,Targeted Diaper Purchase,diaper,4,13365,confirmed
2027-04-12,Targeted Diaper Purchase,diaper,5,11926,pending
2027-04-12,Targeted Diaper Purchase,diaper,6,5366,confirmed
2027-04-12,Planned Purchase,adult_incontinence,L,107,pending
2027-04-12,Planned Purchase,adult_incontinence,M,144,confirmed
2027-04-12,Planned Purchase,adult_incontinence,S,65,confirmed
2027-04-12,Planned Purchase,adult_incontinence,XL,47,confirmed
2027-04-12,Planned Purchase,period_cup,one_size,29,pending
2027-04-12,Planned Purchase,period_liner,one_size,648,pending
2027-04-12,Planned Purchase,period_pad,overnight,581,pending
2027-04-12,Planned Purchase,period_pad,regular,1542,pending
2027-04-12,Planned Purchase,period_pad,super,782,confirmed
2027-04-12,Planned Purchase,period_tampon,regular,1128,pending
2027-04-12,Planned Purchase,period_tampon,super,492,confirmed
2027-04-12,Planned Purchase,period_tampon,super_plus,202,confirmed
2027-04-12,Planned Purchase,pull_up,2T-3T,616,pending
2027-04-12,Planned Purchase,pull_up,3T-4T,1105,confirmed
2027-04-12,Planned Purchase,pull_up,4T-5T,595,confirmed
2027-04-12,Planned Purchase,wipes,one_size,20750,confirmed
2027-04-19,Community Donations,diaper,N,3088,pending
2027-04-19,Community Donations,diaper,1,3371,confirmed
2027-04-19,Community Donations,diaper,2,2761,confirmed
2027-04-19,Community Donations,diaper,3,1893,confirmed
2027-04-19,Community Donations,diaper,4,1244,pending
2027-04-19,Community Donations,diaper,5,805,confirmed
2027-04-19,Community Donations,diaper,6,547,pending
2027-04-19,Community Donations,diaper,7,140,confirmed
2027-04-26,Community Donations,diaper,N,2542,confirmed
2027-04-26,Community Donations,diaper,1,2685,pending
2027-04-26,Community Donations,diaper,2,2314,confirmed
2027-04-26,Community Donations,diaper,3,1632,pending
2027-04-26,Community Donations,diaper,4,1055,confirmed
2027-04-26,Community Donations,diaper,5,750,confirmed
2027-04-26,Community Donations,diaper,6,473,confirmed
2027-04-26,Community Donations,diaper,7,107,pending
2027-05-03,Community Donations,diaper,N,2757,confirmed
2027-05-03,Community Donations,diaper,1,3203,confirmed
2027-05-03,Community Donations,diaper,2,2485,confirmed
2027-05-03,Community Donations,diaper,3,1884,confirmed
2027-05-03,Community Donations,diaper,4,1190,confirmed
2027-05-03,Community Donations,diaper,5,810,confirmed
2027-05-03,Community Donations,diaper,6,476,confirmed
2027-05-03,Community Donations,diaper,7,132,confirmed
2027-05-10,Community Donations,diaper,N,2660,confirmed
2027-05-10,Community Donations,diaper,1,2869,pending
2027-05-10,Community Donations,diaper,2,2416,pending
2027-05-10,Community Donations,diaper,3,1602,pending
2027-05-10,Community Donations,diaper,4,1104,confirmed
2027-05-10,Community Donations,diaper,5,735,pending
2027-05-10,Community Donations,diaper,6,433,pending
2027-05-10,Community Donations,diaper,7,116,pending
2027-05-10,Targeted Diaper Purchase,diaper,4,10984,confirmed
2027-05-10,Targeted Diaper Purchase,diaper,5,11183,confirmed
2027-05-10,Targeted Diaper Purchase,diaper,6,4513,confirmed
2027-05-10,Planned Purchase,adult_incontinence,L,150,confirmed
2027-05-10,Planned Purchase,adult_incontinence,M,143,pending
2027-05-10,Planned Purchase,adult_incontinence,S,43,confirmed
2027-05-10,Planned Purchase,adult_incontinence,XL,68,confirmed
2027-05-10,Planned Purchase,period_cup,one_size,22,confirmed
2027-05-10,Planned Purchase,period_liner,one_size,737,pending
2027-05-10,Planned Purchase,period_pad,overnight,530,confirmed
2027-05-10,Planned Purchase,period_pad,regular,1480,confirmed
2027-05-10,Planned Purchase,period_pad,super,706,confirmed
2027-05-10,Planned Purchase,period_tampon,regular,740,confirmed
2027-05-10,Planned Purchase,period_tampon,super,380,confirmed
2027-05-10,Planned Purchase,period_tampon,super_plus,289,confirmed
2027-05-10,Planned Purchase,pull_up,2T-3T,1006,pending
2027-05-10,Planned Purchase,pull_up,3T-4T,1138,confirmed
2027-05-10,Planned Purchase,pull_up,4T-5T,672,confirmed
2027-05-10,Planned Purchase,wipes,one_size,22886,confirmed
2027-05-17,Community Donations,diaper,N,2075,confirmed
2027-05-17,Community Donations,diaper,1,2179,confirmed
2027-05-17,Community Donations,diaper,2,1950,confirmed
2027-05-17,Community Donations,diaper,3,1337,confirmed
2027-05-17,Community Donations,diaper,4,853,pending
2027-05-17,Community Donations,diaper,5,585,confirmed
2027-05-17,Community Donations,diaper,6,369,confirmed
2027-05-17,Community Donations,diaper,7,93,confirmed
2027-05-24,Community Donations,diaper,N,2849,confirmed
2027-05-24,Community Donations,diaper,1,3064,pending
2027-05-24,Community Donations,diaper,2,2580,confirmed
2027-05-24,Community Donations,diaper,3,1699,confirmed
2027-05-24,Community Donations,diaper,4,1131,pending
2027-05-24,Community Donations,diaper,5,730,confirmed
2027-05-24,Community Donations,diaper,6,519,pending
2027-05-24,Community Donations,diaper,7,126,pending
2027-05-31,Community Donations,diaper,N,2983,pending
2027-05-31,Community Donations,diaper,1,3437,pending
2027-05-31,Community Donations,diaper,2,2777,confirmed
2027-05-31,Community Donations,diaper,3,1941,pending
2027-05-31,Community Donations,diaper,4,1204,pending
2027-05-31,Community Donations,diaper,5,825,pending
2027-05-31,Community Donations,diaper,6,526,pending
2027-05-31,Community Donations,diaper,7,132,pending
2027-06-07,Community Donations,diaper,N,1979,pending
2027-06-07,Community Donations,diaper,1,2189,confirmed
2027-06-07,Community Donations,diaper,2,1813,pending
2027-06-07,Community Donations,diaper,3,1292,pending
2027-06-07,Community Donations,diaper,4,844,confirmed
2027-06-07,Community Donations,diaper,5,539,confirmed
2027-06-07,Community Donations,diaper,6,361,confirmed
2027-06-07,Community Donations,diaper,7,106,pending
2027-06-07,Targeted Diaper Purchase,diaper,4,10412,confirmed
2027-06-07,Targeted Diaper Purchase,diaper,5,10664,confirmed
2027-06-07,Targeted Diaper Purchase,diaper,6,5346,confirmed
2027-06-07,Planned Purchase,adult_incontinence,L,123,pending
2027-06-07,Planned Purchase,adult_incontinence,M,121,confirmed
2027-06-07,Planned Purchase,adult_incontinence,S,49,confirmed
2027-06-07,Planned Purchase,adult_incontinence,XL,70,confirmed
2027-06-07,Planned Purchase,period_cup,one_size,30,confirmed
2027-06-07,Planned Purchase,period_liner,one_size,773,confirmed
2027-06-07,Planned Purchase,period_pad,overnight,409,confirmed
2027-06-07,Planned Purchase,period_pad,regular,1082,confirmed
2027-06-07,Planned Purchase,period_pad,super,755,confirmed
2027-06-07,Planned Purchase,period_tampon,regular,916,pending
2027-06-07,Planned Purchase,period_tampon,super,374,confirmed
2027-06-07,Planned Purchase,period_tampon,super_plus,257,confirmed
2027-06-07,Planned Purchase,pull_up,2T-3T,847,confirmed
2027-06-07,Planned Purchase,pull_up,3T-4T,1106,confirmed
2027-06-07,Planned Purchase,pull_up,4T-5T,831,confirmed
2027-06-07,Planned Purchase,wipes,one_size,21986,confirmed
2027-06-14,Community Donations,diaper,N,1764,confirmed
2027-06-14,Community Donations,diaper,1,1969,pending
2027-06-14,Community Donations,diaper,2,1604,confirmed
2027-06-14,Community Donations,diaper,3,1101,confirmed
2027-06-14,Community Donations,diaper,4,695,confirmed
2027-06-14,Community Donations,diaper,5,480,confirmed
2027-06-14,Community Donations,diaper,6,325,pending
2027-06-14,Community Donations,diaper,7,91,confirmed
2027-06-21,Community Donations,diaper,N,1817,confirmed
